valid_time,dswrf,vbdsf,vddsf
2022-01-08 09:00:00,0.0,0.0,0.0
2022-01-09 03:00:00,0.0,0.0,0.0
2022-01-08 14:00:00,0.0,0.0,0.0
2022-01-09 04:00:00,0.0,0.0,0.0
2022-01-09 05:00:00,0.0,0.0,0.0
2022-01-08 16:00:00,202.0,60.0,187.60000610351562
2022-01-08 15:00:00,36.0,0.0,36.0
2022-01-08 17:00:00,387.79998779296875,396.0,244.10000610351562
2022-01-08 18:00:00,419.5,166.0,345.70001220703125
2022-01-08 19:00:00,357.6000061035156,306.0,210.10000610351562
2022-01-08 20:00:00,415.6000061035156,332.0,260.20001220703125
2022-01-08 21:00:00,460.70001220703125,813.0,129.3000030517578
2022-01-08 23:00:00,71.19999694824219,0.0,71.19999694824219
2022-01-09 00:00:00,0.0,0.0,0.0
2022-01-09 01:00:00,0.0,0.0,0.0
2022-01-09 22:00:00,348.1000061035156,969.0,52.29999923706055
2022-01-09 23:00:00,168.6999969482422,800.0,37.900001525878906
2022-01-10 00:00:00,0.0,0.0,0.0
2022-01-10 01:00:00,0.0,0.0,0.0
2022-01-10 02:00:00,0.0,0.0,0.0
2022-01-10 04:00:00,0.0,0.0,0.0
2022-01-09 10:00:00,0.0,0.0,0.0
2022-01-09 11:00:00,0.0,0.0,0.0
2022-01-09 06:00:00,0.0,0.0,0.0
2022-01-09 09:00:00,0.0,0.0,0.0
2022-01-09 13:00:00,0.0,0.0,0.0
2022-01-09 07:00:00,0.0,0.0,0.0
2022-01-09 08:00:00,0.0,0.0,0.0
2022-01-09 12:00:00,0.0,0.0,0.0
2022-01-10 03:00:00,0.0,0.0,0.0
2022-01-09 14:00:00,0.0,0.0,0.0
2022-01-09 15:00:00,71.9000015258789,519.5,28.299999237060547
2022-01-09 16:00:00,269.6000061035156,928.0,46.5
2022-01-09 17:00:00,433.0,1031.0,57.79999923706055
2022-01-09 18:00:00,545.0999755859375,1076.0,64.0999984741211
2022-01-09 21:00:00,490.3999938964844,1049.0,60.20000076293945
2022-01-09 20:00:00,573.2999877929688,1081.0,64.30000305175781
2022-01-10 05:00:00,0.0,0.0,0.0
2022-01-09 19:00:00,593.5999755859375,1092.0,65.9000015258789
2022-01-10 22:00:00,355.6000061035156,980.0,52.099998474121094
2022-01-11 00:00:00,0.0,0.0,0.0
2022-01-11 01:00:00,0.0,0.0,0.0
2022-01-11 04:00:00,0.0,0.0,0.0
2022-01-10 06:00:00,0.0,0.0,0.0
2022-01-10 10:00:00,0.0,0.0,0.0
2022-01-10 07:00:00,0.0,0.0,0.0
2022-01-10 09:00:00,0.0,0.0,0.0
2022-01-10 12:00:00,0.0,0.0,0.0
2022-01-10 08:00:00,0.0,0.0,0.0
2022-01-10 11:00:00,0.0,0.0,0.0
2022-01-10 13:00:00,0.0,0.0,0.0
2022-01-10 14:00:00,0.0,0.0,0.0
2022-01-11 02:00:00,0.0,0.0,0.0
2022-01-11 03:00:00,0.0,0.0,0.0
2022-01-10 15:00:00,72.9000015258789,525.5999755859375,28.299999237060547
2022-01-10 17:00:00,433.8999938964844,1029.0,57.70000076293945
2022-01-10 16:00:00,271.0,930.0,46.5
2022-01-10 18:00:00,546.5999755859375,1075.0,64.0999984741211
2022-01-10 19:00:00,594.9000244140625,1090.0,65.80000305175781
2022-01-10 20:00:00,577.5,1084.0,64.4000015258789
2022-01-10 21:00:00,495.8999938964844,1055.0,60.29999923706055
2022-01-10 23:00:00,173.60000610351562,810.0,37.900001525878906
2022-01-11 05:00:00,0.0,0.0,0.0
2022-01-11 22:00:00,360.79998779296875,991.0,52.400001525878906
2022-01-12 00:00:00,0.30000001192092896,20.0,0.30000001192092896
2022-01-12 05:00:00,0.0,0.0,0.0
2022-01-11 07:00:00,0.0,0.0,0.0
2022-01-11 06:00:00,0.0,0.0,0.0
2022-01-11 09:00:00,0.0,0.0,0.0
2022-01-11 08:00:00,0.0,0.0,0.0
2022-01-11 13:00:00,0.0,0.0,0.0
2022-01-11 11:00:00,0.0,0.0,0.0
2022-01-11 10:00:00,0.0,0.0,0.0
2022-01-11 12:00:00,0.0,0.0,0.0
2022-01-11 14:00:00,0.0,0.0,0.0
2022-01-12 01:00:00,0.0,0.0,0.0
2022-01-12 03:00:00,0.0,0.0,0.0
2022-01-11 16:00:00,264.79998779296875,676.0,101.0
2022-01-11 17:00:00,438.8999938964844,1024.0,63.29999923706055
2022-01-11 15:00:00,63.099998474121094,53.79999923706055,58.5
2022-01-11 18:00:00,552.4000244140625,1074.0,68.4000015258789
2022-01-11 19:00:00,603.5,1090.0,71.69999694824219
2022-01-11 20:00:00,581.0999755859375,1087.0,63.900001525878906
2022-01-11 21:00:00,499.79998779296875,1056.0,60.900001525878906
2022-01-11 23:00:00,177.8000030517578,820.0,38.400001525878906
2022-01-12 02:00:00,0.0,0.0,0.0
2022-01-12 04:00:00,0.0,0.0,0.0
2022-01-12 23:00:00,174.0,780.0,38.20000076293945
2022-01-13 00:00:00,1.600000023841858,50.0,1.399999976158142
2022-01-13 05:00:00,0.0,0.0,0.0
2022-01-12 08:00:00,0.0,0.0,0.0
2022-01-12 10:00:00,0.0,0.0,0.0
2022-01-12 09:00:00,0.0,0.0,0.0
2022-01-12 13:00:00,0.0,0.0,0.0
2022-01-12 07:00:00,0.0,0.0,0.0
2022-01-12 12:00:00,0.0,0.0,0.0
2022-01-12 06:00:00,0.0,0.0,0.0
2022-01-12 11:00:00,0.0,0.0,0.0
2022-01-12 14:00:00,0.0,0.0,0.0
2022-01-13 04:00:00,0.0,0.0,0.0
2022-01-12 15:00:00,70.19999694824219,482.79998779296875,28.5
2022-01-12 16:00:00,261.8999938964844,881.0,47.20000076293945
2022-01-12 17:00:00,421.5,985.0,58.29999923706055
2022-01-12 18:00:00,530.7000122070312,1034.0,62.70000076293945
2022-01-12 19:00:00,577.9000244140625,1008.0,84.0
2022-01-12 20:00:00,565.0,1046.0,64.4000015258789
2022-01-12 21:00:00,486.0,1017.0,60.20000076293945
2022-01-12 22:00:00,349.6000061035156,946.0,52.29999923706055
2022-01-13 01:00:00,0.0,0.0,0.0
2022-01-13 02:00:00,0.0,0.0,0.0
2022-01-13 03:00:00,0.0,0.0,0.0
2022-01-13 22:00:00,343.29998779296875,790.0,92.4000015258789
2022-01-13 23:00:00,177.39999389648438,744.0,46.29999923706055
2022-01-14 00:00:00,2.5999999046325684,0.0,2.5999999046325684
2022-01-14 02:00:00,0.0,0.0,0.0
2022-01-14 05:00:00,0.0,0.0,0.0
2022-01-13 10:00:00,0.0,0.0,0.0
2022-01-13 07:00:00,0.0,0.0,0.0
2022-01-13 09:00:00,0.0,0.0,0.0
2022-01-13 11:00:00,0.0,0.0,0.0
2022-01-13 13:00:00,0.0,0.0,0.0
2022-01-13 12:00:00,0.0,0.0,0.0
2022-01-13 06:00:00,0.0,0.0,0.0
2022-01-13 08:00:00,0.0,0.0,0.0
2022-01-14 03:00:00,0.0,0.0,0.0
2022-01-13 14:00:00,0.0,0.0,0.0
2022-01-13 15:00:00,77.19999694824219,622.0,22.899999618530273
2022-01-13 16:00:00,265.20001220703125,891.0,47.0
2022-01-13 17:00:00,420.70001220703125,907.0,84.9000015258789
2022-01-13 18:00:00,527.5999755859375,959.0,91.19999694824219
2022-01-13 19:00:00,563.7999877929688,697.0,220.5
2022-01-13 20:00:00,567.4000244140625,1042.0,66.0
2022-01-13 21:00:00,489.6000061035156,1019.0,60.099998474121094
2022-01-14 01:00:00,0.0,0.0,0.0
2022-01-14 04:00:00,0.0,0.0,0.0
2022-01-14 22:00:00,379.0,900.0,92.80000305175781
2022-01-14 23:00:00,167.0,547.0,68.9000015258789
2022-01-15 03:00:00,0.0,0.0,0.0
2022-01-15 04:00:00,0.0,0.0,0.0
2022-01-15 05:00:00,0.0,0.0,0.0
2022-01-14 07:00:00,0.0,0.0,0.0
2022-01-14 09:00:00,0.0,0.0,0.0
2022-01-14 13:00:00,0.0,0.0,0.0
2022-01-14 08:00:00,0.0,0.0,0.0
2022-01-14 06:00:00,0.0,0.0,0.0
2022-01-14 12:00:00,0.0,0.0,0.0
2022-01-14 10:00:00,0.0,0.0,0.0
2022-01-14 11:00:00,0.0,0.0,0.0
2022-01-14 14:00:00,0.0,0.0,0.0
2022-01-14 15:00:00,63.099998474121094,177.0,47.5
2022-01-14 16:00:00,265.1000061035156,822.0,62.599998474121094
2022-01-14 17:00:00,434.20001220703125,1005.0,60.20000076293945
2022-01-14 18:00:00,542.4000244140625,1042.0,66.19999694824219
2022-01-14 19:00:00,589.2000122070312,1027.0,80.5999984741211
2022-01-14 20:00:00,579.5999755859375,1048.0,72.30000305175781
2022-01-14 21:00:00,493.0,895.0,112.9000015258789
2022-01-15 00:00:00,8.399999618530273,0.0,8.399999618530273
2022-01-15 01:00:00,0.0,0.0,0.0
2022-01-15 02:00:00,0.0,0.0,0.0
2022-01-15 22:00:00,377.20001220703125,1000.0,54.29999923706055
2022-01-15 23:00:00,195.10000610351562,846.0,40.400001525878906
2022-01-16 00:00:00,8.100000381469727,180.0,5.699999809265137
2022-01-16 02:00:00,0.0,0.0,0.0
2022-01-16 03:00:00,0.0,0.0,0.0
2022-01-15 08:00:00,0.0,0.0,0.0
2022-01-15 11:00:00,0.0,0.0,0.0
2022-01-15 12:00:00,0.0,0.0,0.0
2022-01-15 06:00:00,0.0,0.0,0.0
2022-01-15 07:00:00,0.0,0.0,0.0
2022-01-15 13:00:00,0.0,0.0,0.0
2022-01-15 10:00:00,0.0,0.0,0.0
